"R1"	"R2"	"R3"	"R4"	"R7"	"R8"	"R9"	"R10"	"R13"	"R15"	"R16"	"R19"	"R20"	"R21"
"56030"	4081	10774	4999	11205	3392	9242	5420	20406	6874	6789	10514	3127	13118	11583
"70853"	6	31	7	25	4	25	7	36	16	11	18	3	66	20
"12790"	2	61	5	25	0	37	11	23	8	6	34	6	23	23
"269180"	701	756	269	340	422	508	467	343	743	317	264	55	557	268
"76178"	3237	5155	2341	3377	2659	3846	4150	3902	3782	2000	4491	702	3834	3961
"67387"	610	684	395	585	418	782	839	624	714	329	642	78	834	718
"269181"	5927	17977	3257	8988	4747	11196	5515	9068	7956	3720	11175	2868	11327	10400
"77633"	156	144	89	192	77	157	155	197	172	75	299	37	162	187
"100861893"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"72097"	1327	999	844	964	959	1280	1529	1286	1647	812	1153	78	1404	742
"100503734"	2	0	1	1	1	1	4	1	2	1	4	0	1	0
"211484"	23	55	33	51	22	46	40	83	36	45	57	35	75	64
"623661"	241	193	193	230	191	130	340	367	211	151	199	16	138	164
"69028"	283	326	414	472	250	345	425	742	308	409	604	113	431	560
"107734"	1683	1325	1138	1240	1223	1174	1935	1613	1451	846	1452	281	1231	1343
"332427"	0	0	2	0	0	0	0	0	0	0	0	0	0	4
"69541"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"98258"	1169	1791	1189	1494	1065	1316	1282	2464	1216	1060	1760	526	1537	1814
"226982"	6954	6509	7758	7197	6191	4884	6579	15776	5253	6515	8162	4198	6642	7670
"56210"	333	448	284	476	190	312	476	708	347	265	625	95	421	777
"16764"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"381338"	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"98388"	0	0	0	0	0	1	1	0	0	0	0	0	0	1
"100503760"	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"433292"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"68833"	1571	2756	1523	1733	1381	1716	1821	2848	1487	1334	1598	1086	1770	2426
"18143"	682	1944	1585	1973	599	2236	2080	3938	1338	1765	1324	336	2980	1468
"114641"	6009	4241	4438	4477	4673	4122	7557	6250	5613	3332	4294	1419	4853	5071
"54610"	340	361	305	271	277	377	438	425	487	341	378	79	408	341
"52846"	781	769	672	1019	645	764	844	1463	855	610	1331	173	1017	941
"100217461"	3	1	3	1	2	1	0	3	0	0	0	0	2	3
"67702"	2416	1711	3217	1295	1825	1590	4100	2290	1485	1270	994	339	1603	1020
"263764"	0	0	1	0	1	0	1	0	1	0	3	0	0	0
"619289"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"100042065"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"73426"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"26921"	2629	3218	2626	3884	2133	2447	2845	7767	2516	2225	4542	1369	3449	4297
"100047133"	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"16178"	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"16177"	5	60	0	20	6	69	1	44	3	1	10	28	30	92
"107527"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"17082"	1	1	0	1	3	5	2	6	12	5	0	0	3	0
"16182"	28	44	12	61	23	32	8	81	37	18	44	22	62	90
